class,cg27413732,cg07804728,cg20716209,cg26864230,cg21946667,cg24046864,cg21051964,cg19212550,cg17590135,cg21948655,cg22407458,cg01338084,cg04500632,cg10462643,cg05415871,cg11693709,cg27009008,cg10334121,cg17492891,cg10678486,cg27349795,cg25141069,cg05835416,cg13590117,cg23099959,cg26996201,cg23018039,cg05714219,cg08957018,cg12624829,cg07676859,cg02061431,cg04704634,cg22052948,cg06475503,cg14862260,cg01248426,cg26916609,cg05634428,cg25986322,cg04875128,cg22641350,cg10150615,cg26154534,cg09545123,cg23843090,cg11354603,cg18764516,cg02515103,cg11851429,cg03760191,cg02825728,cg06359059,cg05241830,cg06804311,cg20488820,cg08185095,cg15004938,cg20416129,cg27627006,cg05482498,cg05115468,cg01970427,cg00656478,cg22850234,cg26333652,cg05419984,cg15094912,cg04992576,cg14640772,cg05212836,cg19722347,cg05497345,cg17371436,cg13969273,cg13956443,cg09278980,cg05070626,cg11969637,cg22209441,cg19958866,cg24800175,cg12698628,cg14332346,cg11826324,cg03068376,cg08327690,cg00855396,cg02000145,cg22867629,cg00949670,cg19998533,cg12559685,cg08118581,cg21492137,cg17208530,cg02558362,cg27138727,cg02255700,cg23668257,cg20578893,cg01918222,cg22541336,cg21375869,cg07871971,cg26435172,cg23008404,cg22498143,cg26362488,cg00985564,cg08642716,cg11323483,cg15879426,cg18020955,cg04475375,cg03087607,cg10599951,cg14992768,cg21149764,cg27237541,cg26614578,cg26820845,cg06490988,cg05886952,cg19747632
1.0,0.0898217,0.802142,0.0316082,0.0506816,0.63326,0.829591,0.8773,0.826376,0.961918,0.855413,0.359907,0.221554,0.886985,0.741594,0.929554,0.7419,0.0111334,0.72322,0.0135691,0.0272319,0.0290026,0.0189767,0.702796,0.813142,0.874303,0.081454,0.932901,0.031027,0.0181807,0.0227912,0.418401,0.0665054,0.817264,0.257691,0.947726,0.861039,0.679077,0.957478,0.442994,0.765749,0.201264,0.927986,0.0391438,0.261936,0.0433068,0.890593,0.499543,0.0266269,0.023339,0.00952819,0.834049,0.666374,0.025685,0.826368,0.97811,0.127832,0.690978,0.79539,0.899495,0.268461,0.108625,0.0288192,0.906574,0.865587,0.0319784,0.476551,0.0724875,0.0313907,0.827526,0.0848345,0.0395265,0.892259,0.0932267,0.0335714,0.0312571,0.867539,0.0662257,0.0630876,0.720268,0.722656,0.0256535,0.0371178,0.437357,0.661222,0.687319,0.0429799,0.0176618,0.914523,0.0312649,0.754148,0.0278458,0.55383,0.691721,0.878008,0.812881,0.781906,0.432692,0.025752,0.0668665,0.0424816,0.941726,0.595603,0.919643,0.135082,0.710834,0.556804,0.763981,0.0390106,0.0216124,0.896981,0.808098,0.880953,0.967596,0.323569,0.0641428,0.144442,0.914232,0.753209,0.938926,0.618488,0.0257335,0.0658416,0.223465,0.0168546,0.039254
1.0,0.0433151,0.880792,0.0461886,0.0392374,0.640344,0.868989,0.872593,0.895316,0.963411,0.879631,0.366933,0.0290103,0.882984,0.767902,0.760213,0.770947,0.0427761,0.911858,0.045765,0.0429706,0.0300123,0.0134706,0.557288,0.930261,0.849386,0.0167076,0.92286,0.0276394,0.0364705,0.0217636,0.490595,0.0771683,0.805837,0.370722,0.955155,0.962491,0.64887,0.84704,0.578913,0.840809,0.386283,0.834716,0.0542177,0.130619,0.105958,0.864526,0.482752,0.0292081,0.0360484,0.0162951,0.756144,0.758204,0.0298758,0.837817,0.978283,0.167016,0.368935,0.722293,0.866773,0.478943,0.31832,0.0366641,0.795016,0.855986,0.0235299,0.633344,0.0915186,0.0374154,0.808306,0.0696907,0.036941,0.902476,0.122872,0.0356678,0.0218995,0.9018,0.12487,0.0594023,0.83194,0.736071,0.021985,0.0353494,0.0562105,0.0100819,0.693077,0.0346997,0.0463797,0.870984,0.0269467,0.843564,0.0309332,0.479697,0.646684,0.809189,0.799945,0.811971,0.226331,0.037882,0.128342,0.145728,0.92068,0.591106,0.924449,0.144907,0.683729,0.539153,0.906501,0.0382174,0.0202959,0.93693,0.81165,0.89231,0.955375,0.262267,0.106866,0.250779,0.896415,0.832608,0.917707,0.735781,0.0396805,0.0675641,0.211626,0.0154024,0.0400893
1.0,0.0532857,0.890489,0.0170434,0.0309581,0.578636,0.959297,0.937992,0.593908,0.965015,0.933391,0.321797,0.0192965,0.919301,0.914235,0.958989,0.849386,0.00750825,0.911978,0.0236659,0.0395063,0.0243486,0.0181119,0.495706,0.965932,0.872137,0.0114183,0.95245,0.0254054,0.0234467,0.0143642,0.0535312,0.0538848,0.846909,0.181173,0.932202,0.891545,0.696679,0.955168,0.703121,0.880459,0.0482444,0.957571,0.082415,0.170506,0.0677998,0.926153,0.248386,0.0239101,0.0322376,0.0275454,0.746795,0.833936,0.0185904,0.912546,0.982349,0.0711841,0.287015,0.902881,0.903975,0.417468,0.255588,0.0194781,0.924998,0.944788,0.0258605,0.270494,0.0723816,0.0237609,0.865807,0.0848268,0.0397149,0.916908,0.161269,0.0277825,0.0223842,0.916757,0.15877,0.0894363,0.771775,0.777565,0.0158689,0.0400297,0.0762522,0.0305205,0.828886,0.0643553,0.018639,0.932584,0.0173788,0.850871,0.0201737,0.638739,0.709591,0.905473,0.903468,0.834631,0.333995,0.0279726,0.0868923,0.045057,0.90445,0.593995,0.920127,0.250835,0.734916,0.613502,0.88628,0.0322854,0.0136884,0.942465,0.891932,0.911716,0.971755,0.286466,0.107932,0.280708,0.938796,0.86438,0.939952,0.777569,0.0514549,0.067893,0.190649,0.0125077,0.044269
1.0,0.0574692,0.928504,0.0734553,0.0266182,0.744909,0.87217,0.929291,0.816224,0.964196,0.909624,0.419081,0.0200918,0.890394,0.844987,0.897023,0.749147,0.00861912,0.875065,0.0156021,0.0457052,0.0260304,0.0147177,0.658062,0.950286,0.914137,0.0411036,0.94783,0.0183331,0.0208136,0.0269674,0.384418,0.048924,0.837474,0.357044,0.952968,0.936657,0.639902,0.960644,0.642741,0.804282,0.296457,0.938571,0.0444379,0.31012,0.0353678,0.873429,0.64543,0.0188803,0.0188557,0.00432946,0.827785,0.654159,0.0307435,0.859749,0.983335,0.152618,0.498593,0.753189,0.874528,0.342367,0.115613,0.022859,0.948566,0.835839,0.0198926,0.381543,0.0645492,0.0250049,0.841267,0.0970257,0.0288596,0.894717,0.117768,0.0307206,0.0227881,0.910657,0.128758,0.0562639,0.719217,0.728563,0.022969,0.0590287,0.0584637,0.568754,0.723546,0.0272636,0.0843238,0.908222,0.0361095,0.81679,0.0217103,0.5551,0.824751,0.824734,0.879882,0.775112,0.267368,0.037622,0.0569753,0.0409363,0.931272,0.519663,0.908493,0.13631,0.876567,0.577184,0.898995,0.0420498,0.0247188,0.907641,0.840074,0.904401,0.974022,0.321493,0.0610629,0.186074,0.923341,0.753614,0.930514,0.651982,0.027913,0.0561008,0.28412,0.0129785,0.0358196
1.0,0.0708839,0.905896,0.023073,0.0448133,0.61134,0.88281,0.922791,0.6123,0.948355,0.9059,0.198455,0.017089,0.88348,0.902291,0.958354,0.765074,0.00759234,0.892854,0.0307597,0.0430107,0.0223737,0.0160365,0.58453,0.949226,0.907272,0.0285494,0.948613,0.0283947,0.0338011,0.0196133,0.0817264,0.0426663,0.82574,0.163824,0.947895,0.880321,0.703403,0.95466,0.652997,0.896491,0.0405235,0.948731,0.0660072,0.11129,0.0875084,0.917549,0.27228,0.0181414,0.0283731,0.0183872,0.680073,0.833896,0.0146537,0.884845,0.982847,0.0913049,0.164149,0.876917,0.901507,0.43956,0.194963,0.022186,0.890376,0.929772,0.0218906,0.124747,0.0610361,0.030267,0.849907,0.121819,0.0237048,0.936637,0.125444,0.0244045,0.0208297,0.927635,0.173108,0.143691,0.669583,0.803676,0.0175216,0.250887,0.143854,0.00509298,0.858524,0.150576,0.0247579,0.929769,0.0424127,0.868008,0.031403,0.652054,0.749583,0.877806,0.894953,0.802433,0.419765,0.036117,0.113279,0.04315,0.904319,0.660979,0.910957,0.231102,0.835032,0.632791,0.909799,0.0162082,0.0189158,0.919788,0.836145,0.901364,0.965709,0.215791,0.111768,0.311773,0.932681,0.832964,0.923244,0.762548,0.0439176,0.108109,0.16494,0.0102776,0.0642124
1.0,0.0534961,0.838443,0.0268748,0.029503,0.77574,0.86381,0.881663,0.856484,0.96881,0.855991,0.35451,0.0206511,0.916632,0.77627,0.955009,0.703459,0.00913162,0.883488,0.0166463,0.0330349,0.0350175,0.0158325,0.604349,0.914572,0.885786,0.0275957,0.947129,0.0453314,0.0174322,0.0187959,0.573629,0.0774532,0.823735,0.416989,0.945315,0.915895,0.662585,0.816304,0.49334,0.751977,0.318482,0.962699,0.0293319,0.212191,0.0329985,0.869509,0.640473,0.0240243,0.028262,0.0111249,0.809479,0.722539,0.0241358,0.85084,0.977516,0.0966073,0.517611,0.800999,0.89104,0.33261,0.223045,0.0152636,0.928788,0.870461,0.029658,0.560764,0.0593025,0.0265952,0.848651,0.100281,0.0337044,0.909682,0.103761,0.0333466,0.0216156,0.864352,0.124428,0.0772005,0.705371,0.735136,0.0238262,0.207162,0.0691227,0.00737639,0.707625,0.0319026,0.050035,0.908407,0.0266127,0.78062,0.0244702,0.512233,0.840076,0.892338,0.863961,0.737145,0.336347,0.0452716,0.0548941,0.054772,0.934124,0.525683,0.870089,0.175252,0.83862,0.534072,0.84776,0.132206,0.0203769,0.89653,0.80892,0.90975,0.966925,0.296971,0.0611012,0.171258,0.924718,0.691041,0.926095,0.597682,0.0363757,0.0509563,0.204453,0.0141413,0.0343452
1.0,0.0485444,0.916394,0.0279706,0.031094,0.801878,0.877589,0.943771,0.739164,0.427235,0.880878,0.552036,0.0210048,0.891064,0.871353,0.955237,0.74059,0.0115907,0.909675,0.0318923,0.0395049,0.0235726,0.0189847,0.532047,0.948674,0.9129,0.0124258,0.934647,0.027758,0.0279706,0.021776,0.629627,0.125696,0.859303,0.646491,0.952597,0.881537,0.724289,0.830527,0.703147,0.830648,0.508536,0.946967,0.0821378,0.0920158,0.0612317,0.895977,0.644098,0.0233546,0.0331568,0.0143769,0.926439,0.865117,0.0237844,0.868135,0.980084,0.167267,0.249446,0.760093,0.898845,0.522582,0.130981,0.0215967,0.888452,0.900373,0.0257416,0.761892,0.083872,0.025231,0.840198,0.0566604,0.0253476,0.915943,0.154671,0.0356801,0.0253035,0.895961,0.417475,0.0235737,0.729696,0.769374,0.0183043,0.105569,0.0371643,0.0101404,0.75247,0.0404424,0.0746865,0.868891,0.0291816,0.80666,0.0261754,0.517341,0.855104,0.854359,0.863774,0.841356,0.391238,0.0384242,0.0680544,0.07978,0.922232,0.588713,0.899011,0.363882,0.844501,0.601825,0.899689,0.0558145,0.024787,0.893847,0.849673,0.914455,0.968161,0.52292,0.0853419,0.360342,0.923168,0.7929,0.939335,0.722722,0.0407972,0.0617873,0.0774016,0.0102031,0.0476169
1.0,0.0809222,0.922654,0.0413233,0.0612868,0.664005,0.867525,0.791055,0.800054,0.433566,0.86327,0.459534,0.0222875,0.882871,0.858773,0.931132,0.803265,0.0130032,0.906734,0.0346736,0.0535139,0.025022,0.0237403,0.597007,0.949845,0.905706,0.0282148,0.930981,0.0211378,0.0319257,0.0203632,0.505503,0.0924607,0.821167,0.388905,0.952961,0.866978,0.722306,0.736314,0.748332,0.8382,0.393289,0.935707,0.05576,0.0645216,0.0736498,0.874518,0.62779,0.0230957,0.021329,0.010446,0.821009,0.777253,0.0196265,0.80243,0.977047,0.140278,0.452182,0.803216,0.848238,0.406591,0.155502,0.023495,0.908262,0.895379,0.13684,0.644653,0.0600794,0.0288787,0.837077,0.094978,0.0300145,0.896601,0.126692,0.0232025,0.0201866,0.890736,0.18768,0.0723874,0.759591,0.724016,0.0228442,0.155763,0.0469944,0.00609607,0.708723,0.0467201,0.0856104,0.851469,0.0460101,0.785315,0.0329349,0.533377,0.642494,0.862081,0.868119,0.815289,0.287915,0.0466299,0.0848203,0.050862,0.842154,0.57279,0.891376,0.165933,0.693165,0.545427,0.878344,0.0507049,0.0258234,0.906287,0.836784,0.905732,0.969322,0.338849,0.0752892,0.232459,0.93147,0.698368,0.0248355,0.714797,0.0404501,0.070849,0.249966,0.0138015,0.0318525
1.0,0.0670064,0.91822,0.0313331,0.0690786,0.616595,0.928678,0.941638,0.488818,0.425575,0.900934,0.339785,0.197941,0.913162,0.905857,0.948546,0.832047,0.00891284,0.87086,0.0380058,0.0422764,0.0307571,0.0228117,0.501058,0.937414,0.866696,0.040794,0.952097,0.0314589,0.0327537,0.0200028,0.302654,0.0518136,0.848774,0.215617,0.935022,0.868917,0.684393,0.946782,0.563141,0.852679,0.161918,0.950242,0.0699022,0.20857,0.0808554,0.876748,0.41,0.0290281,0.0351978,0.0273934,0.74955,0.842305,0.022935,0.878972,0.971125,0.104874,0.296747,0.866417,0.906544,0.39503,0.206903,0.0220589,0.926253,0.909873,0.0308238,0.392785,0.0724053,0.0299302,0.863145,0.0966306,0.040022,0.906918,0.120203,0.0361895,0.0296865,0.911359,0.156424,0.102787,0.778285,0.783326,0.0207538,0.0907064,0.0674,0.0367516,0.831599,0.0903417,0.0311011,0.922736,0.0218148,0.849057,0.0296735,0.5157,0.694957,0.903874,0.889214,0.793784,0.382597,0.0569223,0.0483457,0.0516413,0.923263,0.563899,0.922803,0.30776,0.783484,0.558249,0.874085,0.0471095,0.0243028,0.924175,0.85238,0.900423,0.958125,0.3177,0.0971636,0.273365,0.932221,0.824762,0.918793,0.703555,0.0529084,0.083549,0.181372,0.0144419,0.0535289
1.0,0.0684477,0.876589,0.0399106,0.0330061,0.727835,0.869826,0.812753,0.794245,0.96877,0.852859,0.454107,0.0365606,0.880603,0.830987,0.740644,0.751977,0.011614,0.836051,0.0143947,0.0339553,0.0281057,0.0197155,0.576818,0.905665,0.890955,0.0541893,0.935246,0.030104,0.0208149,0.0251933,0.460584,0.0656776,0.814851,0.414129,0.948683,0.912773,0.727031,0.95876,0.538907,0.806223,0.339232,0.790433,0.035681,0.177814,0.0598275,0.904986,0.480895,0.0258036,0.0292884,0.0167137,0.832232,0.839074,0.0256926,0.871307,0.978525,0.130754,0.37903,0.81681,0.906745,0.403745,0.156316,0.0242273,0.936073,0.850105,0.0275886,0.529701,0.0665717,0.025543,0.841905,0.308651,0.0395593,0.901888,0.113499,0.0304705,0.0221546,0.911511,0.178866,0.039444,0.748874,0.770159,0.0276012,0.0248154,0.0371696,0.0151454,0.754499,0.046123,0.044338,0.913958,0.0411559,0.800447,0.0231684,0.558911,0.79338,0.880716,0.871538,0.73745,0.333165,0.040076,0.0538688,0.051243,0.931241,0.617132,0.881805,0.179756,0.798976,0.609029,0.879551,0.0475642,0.0275187,0.927161,0.823086,0.882895,0.969673,0.306989,0.0836379,0.267731,0.906921,0.791389,0.918364,0.713187,0.0365208,0.0667898,0.288652,0.0148556,0.0310784
